SKU;Ürün Adı;Marka;Model;Kategori;Fiyat TL (KDV dahil);İşlev Grubu;Kullanım Yeri;Uygun Olduğu Sistemler;Açıklama
ARCPK5034;"CİVATALI PRİZ KOLYE 50x3/4""";Arangül;" 50x3/4""";Priz Kolyeler;52,62;boru üzeri priz kolye / branşman;50 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"50x3/4"" ölçülerinde, 50 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 3/4"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK63112;"CİVATALI PRİZ KOLYE 63x1 1/2""";Arangül;" 63x1 1/2""";Priz Kolyeler;101,83;boru üzeri priz kolye / branşman;63 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"63x1 1/2"" ölçülerinde, 63 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1 1/2"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK63114;"CİVATALI PRİZ KOLYE 63x1 1/4""";Arangül;" 63x1 1/4""";Priz Kolyeler;101,83;boru üzeri priz kolye / branşman;63 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"63x1 1/4"" ölçülerinde, 63 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1 1/4"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK631;"CİVATALI PRİZ KOLYE 63x1""";Arangül;" 63x1""";Priz Kolyeler;79,45;boru üzeri priz kolye / branşman;63 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"63x1"" ölçülerinde, 63 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK6312;"CİVATALI PRİZ KOLYE 63x1/2""";Arangül;" 63x1/2""";Priz Kolyeler;79,45;boru üzeri priz kolye / branşman;63 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"63x1/2"" ölçülerinde, 63 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1/2"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK6334;"CİVATALI PRİZ KOLYE 63x3/4""";Arangül;" 63x3/4""";Priz Kolyeler;79,45;boru üzeri priz kolye / branşman;63 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"63x3/4"" ölçülerinde, 63 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 3/4"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK75112;"CİVATALI PRİZ KOLYE 75x1 1/2""";Arangül;" 75x1 1/2""";Priz Kolyeler;113,50;boru üzeri priz kolye / branşman;75 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"75x1 1/2"" ölçülerinde, 75 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1 1/2"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK75114;"CİVATALI PRİZ KOLYE 75x1 1/4""";Arangül;" 75x1 1/4""";Priz Kolyeler;113,50;boru üzeri priz kolye / branşman;75 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"75x1 1/4"" ölçülerinde, 75 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1 1/4"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK751;"CİVATALI PRİZ KOLYE 75x1""";Arangül;" 75x1""";Priz Kolyeler;91,98;boru üzeri priz kolye / branşman;75 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"75x1"" ölçülerinde, 75 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK7512;"CİVATALI PRİZ KOLYE 75x1/2""";Arangül;" 75x1/2""";Priz Kolyeler;91,98;boru üzeri priz kolye / branşman;75 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"75x1/2"" ölçülerinde, 75 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1/2"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK752;"CİVATALI PRİZ KOLYE 75x2""";Arangül;" 75x2""";Priz Kolyeler;113,50;boru üzeri priz kolye / branşman;75 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"75x2"" ölçülerinde, 75 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 2"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK7534;"CİVATALI PRİZ KOLYE 75x3/4""";Arangül;" 75x3/4""";Priz Kolyeler;91,98;boru üzeri priz kolye / branşman;75 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"75x3/4"" ölçülerinde, 75 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 3/4"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK90112;"CİVATALI PRİZ KOLYE 90x1 1/2""";Arangül;" 90x1 1/2""";Priz Kolyeler;135,17;boru üzeri priz kolye / branşman;90 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"90x1 1/2"" ölçülerinde, 90 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1 1/2"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK90114;"CİVATALI PRİZ KOLYE 90x1 1/4""";Arangül;" 90x1 1/4""";Priz Kolyeler;135,17;boru üzeri priz kolye / branşman;90 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"90x1 1/4"" ölçülerinde, 90 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1 1/4"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK901;"CİVATALI PRİZ KOLYE 90x1""";Arangül;" 90x1""";Priz Kolyeler;109,91;boru üzeri priz kolye / branşman;90 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"90x1"" ölçülerinde, 90 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK9012;"CİVATALI PRİZ KOLYE 90x1/2""";Arangül;" 90x1/2""";Priz Kolyeler;109,91;boru üzeri priz kolye / branşman;90 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"90x1/2"" ölçülerinde, 90 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1/2"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK902;"CİVATALI PRİZ KOLYE 90x2""";Arangül;" 90x2""";Priz Kolyeler;135,17;boru üzeri priz kolye / branşman;90 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"90x2"" ölçülerinde, 90 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 2"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK9034;"CİVATALI PRİZ KOLYE 90x3/4""";Arangül;" 90x3/4""";Priz Kolyeler;117,55;boru üzeri priz kolye / branşman;90 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"90x3/4"" ölçülerinde, 90 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 3/4"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARDKD162;DAMLAMA KİLİTLİ DAĞITICI 16MM 2Lİ;Arangül; 16MM 2Lİ;Damlama;23,04;damla sulama dağıtıcı / kilitli bağlantı;16 mm damla sulama borusuna kilitli bağlanarak iki ayrı çıkışa su dağıtmak için kullanılır.;damla sulama, sera, meyve fidanlığı, çalı ve çiçek tarhları, saksı sulama;"16MM 2’li kilitli damla dağıtıcıdır; 16 mm damla hattına kilitli olarak bağlanır ve iki adet çıkış üzerinden mikro boru veya damlatıcıya su vererek noktasal bitki sulaması yapılmasını sağlar."
ARDKD164;DAMLAMA KİLİTLİ DAĞITICI 16MM 4LÜ K;Arangül; 16MM 4LÜ K;Damlama;28,80;damla sulama dağıtıcı / kilitli bağlantı;16 mm damla sulama borusuna kilitli bağlanarak dört ayrı çıkışa su dağıtmak için kullanılır.;damla sulama, sera, meyve fidanlığı, çalı ve çiçek tarhları, saksı sulama;"16 mm damla hattına kilitli olarak bağlanan, dört ayrı çıkıştan mikro boru veya damlatıcılara su veren 4’lü damla dağıtıcıdır; grup halinde bitki sulaması için kullanılır."
ARDKD164X;DAMLAMA KİLİTLİ DAĞITICI 16MM 4LÜ X;Arangül; 16MM 4LÜ X;Damlama;28,80;damla sulama dağıtıcı / kilitli bağlantı;16 mm damla sulama borusuna kilitli bağlanarak dört yönlü çıkışlı dağıtım yapmak için kullanılır.;damla sulama, sera, meyve fidanlığı, çalı ve çiçek tarhları, saksı sulama;16 mm damla hattına kilitli bağlanan, X formunda dört yöne mikro boru ile çıkış vererek çevresel bitki sulaması sağlayan 4’lü damla dağıtıcıdır.
ARDKD166;DAMLAMA KİLİTLİ DAĞITICI 16MM 6 LI;Arangül; 16MM 6 LI;Damlama;34,56;damla sulama dağıtıcı / kilitli bağlantı;16 mm damla sulama borusuna kilitli bağlanarak altı ayrı noktaya su dağıtmak için kullanılır.;damla sulama, sera, meyve fidanlığı, çalı ve çiçek tarhları, saksı sulama;16 mm damla hattına kilitli bağlanan, altı adet mikro boru çıkışı ile yoğun bitkilendirilmiş alanlarda çoklu noktasal sulama sağlayan 6’lı damla dağıtıcıdır.
ARKDV2012;"KAPLİN DİŞİ VANA 20x1/2""";Arangül;" 20x1/2""";Vanalar;114,15;boru–dişli bağlantı fittingsi (dişi adaptör);"20 mm PE borudan 1/2"" erkek dişli girişe sahip vana veya ekipmana geçişte kullanılır.";çim sulama, damla sulama, peyzaj bahçesi, hobi bahçesi;"20 mm PE boru hattını 1/2"" dişli vana, filtre veya benzeri ekipmanlara bağlamak için kullanılan dişli vana kaplini/adaptörüdür."
ARKDV2534;"KAPLİN DİŞİ VANA 25x3/4""";Arangül;" 25x3/4""";Vanalar;150,78;boru–dişli bağlantı fittingsi (dişi adaptör);"25 mm PE borudan 3/4"" dişli vana veya ekipmana geçişte kullanılır.";çim sulama, damla sulama, peyzaj bahçesi, hobi bahçesi;"25 mm PE boru hattını 3/4"" dişli vana, filtre veya kolektör çıkışına bağlamak için kullanılan dişli vana kaplini/adaptörüdür."
ARKDV321;"KAPLİN DİŞİ VANA 32x1""";Arangül;" 32x1""";Vanalar;203,04;boru–dişli bağlantı fittingsi (dişi adaptör);"32 mm PE borudan 1"" dişli vana veya ekipmana geçişte kullanılır.";çim sulama, damla sulama, tarla sulama, peyzaj bahçesi;"32 mm PE boru hattını 1"" dişli vana, filtre, kolektör veya benzeri ekipmanlara bağlamak için kullanılan dişli vana kaplini/adaptörüdür."
ARKDV40114;"KAPLİN DİŞİ VANA 40x1 1/4""";Arangül;" 40x1 1/4""";Vanalar;262,65;boru–dişli bağlantı fittingsi (dişi adaptör);"40 mm PE borudan 1 1/4"" dişli vana veya ekipmana geçişte kullanılır.";çim sulama, tarla sulama, peyzaj ve endüstriyel sulama sistemleri;"40 mm PE boru hattını 1 1/4"" dişli vana, kolektör veya benzeri ekipmanlara bağlamak için kullanılan dişli vana kaplini/adaptörüdür."
ARKDV50112;"KAPLİN DİŞİ VANA 50x1 1/2""";Arangül;" 50x1 1/2""";Vanalar;369,56;boru–dişli bağlantı fittingsi (dişi adaptör);"50 mm PE borudan 1 1/2"" dişli vana veya ekipmana geçişte kullanılır.";tarla sulama, peyzaj, endüstriyel sulama sistemleri;"50 mm PE boru hattını 1 1/2"" dişli vana, filtre veya kolektöre bağlamak için kullanılan dişli vana kaplini/adaptörüdür."
ARKDV632;"KAPLİN DİŞİ VANA 63x2""";Arangül;" 63x2""";Vanalar;532,72;boru–dişli bağlantı fittingsi (dişi adaptör);"63 mm PE borudan 2"" dişli vana veya ekipmana geçişte kullanılır.";tarla sulama, büyük peyzaj alanları, endüstriyel sulama;"63 mm PE boru hattını 2"" dişli vana, filtre veya kolektör çıkışına bağlamak için kullanılan dişli vana kaplini/adaptörüdür."
KVAKE321;"KAPLİN ERKEK VANA 32X1""";Arangül;"32x1""";Vanalar;203,00;boru–dişli bağlantı fittingsi (erkek adaptör);"32 mm PE borudan 1"" iç dişli vana veya ekipmana geçişte kullanılır.";çim sulama, damla sulama, tarla sulama, peyzaj bahçesi;"32 mm PE boru hattını 1"" iç dişli vana, filtre veya kolektör gibi ekipmanlara bağlamak için kullanılan erkek dişli vana kaplini/adaptörüdür."
ARKRD11090;KAPLİN REDÜKSİYON DİRSEK 110x90;Arangül; 110x90;Kaplin;631,03;PE reduksiyon dirsek kaplin;110 mm PE borudan 90 mm PE boruya 90° dönüşle geçişte kullanılır.;tarla sulama, ana hatlı peyzaj sistemleri, endüstriyel sulama;110 mm PE ana hattı 90 mm hatta 90° dirsek ile düşürerek yön ve çap değişimi sağlayan reduksiyon dirsek kaplindir.
ARKRD2520;KAPLİN REDÜKSİYON DİRSEK 25x20;Arangül; 25x20;Kaplin;631,03;PE reduksiyon dirsek kaplin;25 mm PE borudan 20 mm PE boruya 90° dönüşle geçişte kullanılır.;çim sulama lateralleri, damla sulama, hobi ve peyzaj bahçeleri;25 mm PE boru hattını 20 mm hatta 90° dirsek yaparak çap ve yön değiştirmek için kullanılan reduksiyon dirsek kaplindir.
ARKRD3225;KAPLİN REDÜKSİYON DİRSEK 32X25;Arangül; 32X25;Kaplin;39,04;PE reduksiyon dirsek kaplin;32 mm PE borudan 25 mm PE boruya 90° dönüşle geçişte kullanılır.;çim sulama, damla sulama, peyzaj ve tarla sulama;32 mm PE boru hattını 25 mm hatta 90° dirsek ile indirerek yön ve çap değişimi sağlayan reduksiyon dirsek kaplindir.
ARKRD4032;KAPLİN REDÜKSİYON DİRSEK 40X32;Arangül; 40X32;Kaplin;51,52;PE reduksiyon dirsek kaplin;40 mm PE borudan 32 mm PE boruya 90° dönüşle geçişte kullanılır.;çim sulama ana–yan hatları, peyzaj ve tarla sulama sistemleri;40 mm PE boru hattını 32 mm hatta 90° dirsek ile düşürerek yön ve çap değişimi sağlayan reduksiyon dirsek kaplindir.
ARKRD5040;KAPLİN REDÜKSİYON DİRSEK 50X40;Arangül; 50X40;Kaplin;75,32;PE reduksiyon dirsek kaplin;50 mm PE borudan 40 mm PE boruya 90° dönüşle geçişte kullanılır.;tarla sulama, peyzaj, endüstriyel sulama sistemleri;50 mm PE boru hattını 40 mm hatta 90° dirsek ile düşürerek yön ve çap değişimi sağlayan reduksiyon dirsek kaplindir.
ARKRD6350;KAPLİN REDÜKSİYON DİRSEK 63X50;Arangül; 63X50;Kaplin;108,41;PE reduksiyon dirsek kaplin;63 mm PE borudan 50 mm PE boruya 90° dönüşle geçişte kullanılır.;tarla sulama, geniş peyzaj sulaması, ana hat uygulamaları;63 mm PE ana boruyu 50 mm hatta 90° dirsek yaparak çap ve yön değiştirmek için kullanılan reduksiyon dirsek kaplindir.
ARKRD7563;KAPLİN REDÜKSİYON DİRSEK 75x63;Arangül; 75x63;Kaplin;148,61;PE reduksiyon dirsek kaplin;75 mm PE borudan 63 mm PE boruya 90° dönüşle geçişte kullanılır.;tarla sulama ana hatları, büyük peyzaj ve endüstriyel sulama;75 mm PE ana hattı 63 mm hatta 90° dirsek ile indirerek yön ve çap değişimi sağlayan reduksiyon dirsek kaplindir.
ARKRD9075;KAPLİN REDÜKSİYON DİRSEK 90x75;Arangül; 90x75;Kaplin;286,05;PE reduksiyon dirsek kaplin;90 mm PE borudan 75 mm PE boruya 90° dönüşle geçişte kullanılır.;tarla sulama ana hatları, büyük peyzaj ve endüstriyel sulama;90 mm PE ana hattı 75 mm hatta 90° dirsek ile indirerek yön ve çap değişimi sağlayan reduksiyon dirsek kaplindir.
AR004;KLASİK BORU KESME MAKASI 16-42 MM;Arangül;16-42 MM;Tesisat;579,52;boru kesme el aleti;PE, PPRC ve benzeri plastik boruların düzgün ve çapaksız kesilmesi için kullanılır.;tüm plastik boru içeren sulama ve temiz su tesisat sistemleri;16–42 mm aralığındaki plastik boruları düz, çapaksız ve ölçülü şekilde kesmek için kullanılan manuel boru kesme makasıdır.
ARMTT100;MTT100 KOLLEKTÖR;Arangül;MTT100;Fittings;52,43;kolektör gövdesi / vana dağıtıcı;Vana kutusu içinde ana hattan sulama zone’larına dağıtım yapmak için kullanılır.;otomatik çim sulama, damla sulama, peyzaj ve tarla sulama sistemleri;Ana borudan gelen hattı birden fazla otomatik vana veya çıkışa bölen, vana kolektörü olarak kullanılan çok çıkışlı kollektör gövdesidir.
PAH03;PAH AÇMA APARATI 20-63 MM;Arangül;20-63 MM;Tesisat;286,12;boru ağız hazırlama el aparatı;20–63 mm plastik boru uçlarını bağlantı veya kaynak öncesi pahlamak ve yumuşatmak için kullanılır.;PE, PPRC ve benzeri plastik borulu sulama ve tesisat sistemleri;20–63 mm boru uçlarını düzgün şekilde pahlayarak bağlantı elemanına daha rahat girmesini ve sızdırmaz montaj yapılmasını sağlayan el tipi pah açma aparatıdır.
ARPKGV110;KAPLİN GEÇME VANA 110X110;Arangül; 110X110;Kaplin;1807,90;geçmeli PE küresel vana;110 mm PE ana hat üzerinde hattı elle açıp kapatmak için kullanılır.;tarla sulama, büyük peyzaj sulaması, endüstriyel sulama sistemleri;110x110 ölçülerinde, 110 mm PE boru hattına geçmeli bağlanan ve hattı manuel olarak açıp kapatmaya yarayan küresel vanadır.
ARPKGV20;KAPLİN GEÇME VANA 20X20;Arangül; 20X20;Kaplin;103,67;geçmeli PE küresel vana;20 mm PE boru hatlarında hattı elle açıp kapatmak için kullanılır.;çim sulama lateralleri, damla sulama, hobi bahçesi uygulamaları;20x20 ölçülerinde, 20 mm PE boruya geçmeli bağlanan ve küçük hatlarda suyu manuel kontrol etmeye yarayan küresel vanadır.
ARPKGV25;KAPLİN GEÇME VANA 25X25;Arangül; 25X25;Kaplin;132,47;geçmeli PE küresel vana;25 mm PE boru hatlarında hattı elle açıp kapatmak için kullanılır.;çim sulama, damla sulama, peyzaj ve hobi bahçeleri;25x25 ölçülerinde, 25 mm PE boruya geçmeli bağlanan ve hattın manuel açma-kapamasını sağlayan küresel vanadır.
ARPKGV32;KAPLİN GEÇME VANA 32X32;Arangül; 32X32;Kaplin;171,10;geçmeli PE küresel vana;32 mm PE boru hatlarında hattı elle açıp kapatmak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi;32x32 ölçülerinde, 32 mm PE ana veya yan hatlara geçmeli bağlanan ve su akışını elle kontrol etmeye yarayan küresel vanadır.
ARPKGV40;KAPLİN GEÇME VANA 40X40;Arangül; 40X40;Kaplin;281,96;geçmeli PE küresel vana;40 mm PE boru hatlarında hattı elle açıp kapatmak için kullanılır.;çim sulama, tarla sulama, peyzaj ve endüstriyel sulama;40x40 ölçülerinde, 40 mm PE boruya geçmeli bağlanan ve orta çaplı hatlarda suyu manuel kontrol etmeye yarayan küresel vanadır.
ARPKGV50;KAPLİN GEÇME VANA 50X50;Arangül; 50X50;Kaplin;364,90;geçmeli PE küresel vana;50 mm PE boru hatlarında hattı elle açıp kapatmak için kullanılır.;tarla sulama, peyzaj sulaması, endüstriyel sulama sistemleri;50x50 ölçülerinde, 50 mm PE boruya geçmeli bağlanan ve ana hatlarda su akışını manuel kontrol etmeye yarayan küresel vanadır.
ARPKGV63;KAPLİN GEÇME VANA 63x63;Arangül; 63x63;Kaplin;530,76;geçmeli PE küresel vana;63 mm PE boru hatlarında hattı elle açıp kapatmak için kullanılır.;tarla sulama, geniş peyzaj alanları, endüstriyel sulama;63x63 ölçülerinde, 63 mm PE ana boruya geçmeli bağlanan ve hattın manuel açma-kapamasını sağlayan küresel vanadır.
ARPKGV75;KAPLİN GEÇME VANA 75X75;Arangül; 75X75;Kaplin;754,44;geçmeli PE küresel vana;75 mm PE ana hat üzerinde hattı elle açıp kapatmak için kullanılır.;tarla sulama, büyük peyzaj sulaması, endüstriyel sulama sistemleri;75x75 ölçülerinde, 75 mm PE ana boruya geçmeli bağlanan ve yüksek debili hatlarda suyu manuel kontrol etmeye yarayan küresel vanadır.
ARPKGV90;KAPLİN GEÇME VANA 90X90;Arangül; 90X90;Kaplin;1011,76;geçmeli PE küresel vana;90 mm PE ana hat üzerinde hattı elle açıp kapatmak için kullanılır.;tarla sulama, büyük peyzaj alanları, endüstriyel sulama sistemleri;90x90 ölçülerinde, 90 mm PE ana boruya geçmeli bağlanan ve geniş çaplı ana hatlarda su akışını manuel olarak kontrol etmeye yarayan küresel vanadır.
ARPPRCKV20;PPRC KÜRESEL VANA 20mm;Arangül;20mm;Kaplin;103,67;PPRC küresel vana;20 mm PPRC boru hatlarında hattı elle açıp kapatmak için kullanılır.;temiz su tesisatı, makine dairesi, küçük sulama uygulamaları;20 mm PPRC boruya kaynaklanarak bağlanan ve suyu manuel olarak açıp kapatmaya yarayan küçük çaplı PPRC küresel vanadır.
